Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
0,-0.073235686,-0.101198402,-4.55E-05,2.40754328,-0.148,1.021432937
0.004,-0.073235686,-0.101198402,-9.09E-05,,,
0.008,-0.073235686,-0.101198402,-0.000136245,,,
0.012,-0.073235686,-0.101198402,-0.000181509,,,
0.016,-0.073235686,-0.101198402,-0.000226699,,,
0.02,-0.073235686,-0.101198402,-0.000271813,,,
0.024,-0.073235686,-0.101198402,-0.000316852,,,
0.028,-0.073235686,-0.101198402,-0.000361816,,,
0.032,-0.073235686,-0.101198402,-0.000406706,,,
0.036,-0.073235686,-0.101198402,-0.000451522,,,
0.04,0.926764314,-0.101198402,-0.000496263,,,
0.044,-0.073235686,-0.101198402,-0.000540929,,,
0.048,-0.073235686,-0.101198402,-0.000585522,,,
0.052,-0.073235686,-0.101198402,-0.00063004,,,
0.056,-0.073235686,-0.101198402,-0.000674485,,,
0.06,-0.073235686,-0.101198402,-0.000718856,,,
0.064,-0.073235686,-0.101198402,-0.000763153,,,
0.068,-0.073235686,-0.101198402,-0.000807376,,,
0.072,-0.073235686,-0.101198402,-0.000851527,,,
0.076,-0.073235686,-0.101198402,-0.000895604,,,
0.08,-0.073235686,-0.101198402,-0.000939607,,,
0.084,0.926764314,-0.101198402,-0.000983538,,,
0.088,-0.073235686,-0.101198402,-0.001027396,,,
0.092,-0.073235686,-0.101198402,-0.001071181,,,
0.096,-0.073235686,-0.101198402,-0.001114893,,,
0.1,-0.073235686,-0.101198402,-0.001158533,,,
0.104,-0.073235686,-0.101198402,-0.0012021,,,
0.108,-0.073235686,-0.101198402,-0.001245595,,,
0.112,-0.073235686,-0.101198402,-0.001289018,,,
0.116,-0.073235686,-0.101198402,-0.001332368,,,
0.12,-0.073235686,0.898801598,-0.000926129,,,
0.124,-0.073235686,-0.101198402,-0.000970082,,,
0.128,-0.073235686,-0.101198402,-0.001013962,,,
0.132,-0.073235686,-0.101198402,-0.001057769,,,
0.136,-0.073235686,0.898801598,-0.000651986,,,
0.14,-0.073235686,-0.101198402,-0.000696394,,,
0.144,-0.073235686,-0.101198402,-0.000740729,,,
0.148,-0.073235686,-0.101198402,-0.000784989,,,
0.152,-0.073235686,-0.101198402,-0.000829177,,,
0.156,-0.073235686,-0.101198402,-0.000873291,,,
0.16,-0.073235686,-0.101198402,-0.000917332,,,
0.164,-0.073235686,-0.101198402,-0.000961299,,,
0.168,-0.073235686,-0.101198402,-0.001005194,,,
0.172,-0.073235686,-0.101198402,-0.001049016,,,
0.176,-0.073235686,0.898801598,-0.000643247,,,
0.18,-0.073235686,-0.101198402,-0.000687669,,,
0.184,-0.073235686,-0.101198402,-0.000732018,,,
0.188,-0.073235686,0.898801598,-0.000326776,,,
0.192,-0.073235686,-0.101198402,-0.000371724,,,
0.196,-0.073235686,0.898801598,3.29E-05,,,
0.2,-0.073235686,-0.101198402,-1.26E-05,,,
0.204,-0.073235686,-0.101198402,-5.81E-05,,,
0.208,-0.073235686,-0.101198402,-0.000103488,,,
0.212,-0.073235686,-0.101198402,-0.000148807,,,
0.216,-0.073235686,-0.101198402,-0.00019405,,,
0.22,-0.073235686,-0.101198402,-0.000239219,,,
0.224,-0.073235686,-0.101198402,-0.000284312,,,
0.228,-0.073235686,-0.101198402,-0.00032933,,,
0.232,-0.073235686,-0.101198402,-0.000374274,,,
0.236,-0.073235686,-0.101198402,-0.000419143,,,
0.24,-0.073235686,-0.101198402,-0.000463938,,,
0.244,-0.073235686,-0.101198402,-0.000508658,,,
0.248,-0.073235686,-0.101198402,-0.000553305,,,
0.252,-0.073235686,-0.101198402,-0.000597876,,,
0.256,-0.073235686,-0.101198402,-0.000642374,,,
0.26,-0.073235686,-0.101198402,-0.000686799,,,
0.264,-0.073235686,-0.101198402,-0.000731149,,,
0.268,-0.073235686,-0.101198402,-0.000775426,,,
0.272,-0.073235686,-0.101198402,-0.000819629,,,
0.276,-0.073235686,-0.101198402,-0.000863759,,,
0.28,-0.073235686,-0.101198402,-0.000907815,,,
0.284,-0.073235686,-0.101198402,-0.000951799,,,
0.288,-0.073235686,-0.101198402,-0.000995709,,,
0.292,-0.073235686,-0.101198402,-0.001039547,,,
0.296,-0.073235686,0.898801598,-0.000633794,,,
0.3,-0.073235686,-0.101198402,-0.000678232,,,
0.304,-0.073235686,-0.101198402,-0.000722597,,,
0.308,-0.073235686,-0.101198402,-0.000766888,,,
0.312,-0.073235686,-0.101198402,-0.000811105,,,
0.316,-0.073235686,-0.101198402,-0.000855249,,,
0.32,-0.073235686,-0.101198402,-0.00089932,,,
0.324,-0.073235686,-0.101198402,-0.000943317,,,
