Time (ns),Counts
0,0
0.004,0
0.008,0
0.012,0
0.016,0
0.02,0
0.024,0
0.028,0
0.032,0
0.036,0
0.04,0
0.044,1
0.048,0
0.052,0
0.056,0
0.06,0
0.064,0
0.068,0
0.072,1
0.076,0
0.08,0
0.084,0
0.088,0
0.092,0
0.096,0
0.1,0
0.104,0
0.108,1
0.112,0
0.116,0
0.12,0
0.124,0
0.128,0
0.132,0
0.136,0
0.14,0
0.144,0
0.148,0
0.152,0
0.156,0
0.16,0
0.164,0
0.168,0
0.172,0
0.176,0
0.18,0
0.184,0
0.188,0
0.192,0
0.196,0
0.2,0
0.204,0
0.208,0
0.212,0
0.216,0
0.22,1
0.224,0
0.228,1
0.232,0
0.236,0
0.24,0
0.244,0
0.248,0
0.252,0
0.256,0
0.26,0
0.264,0
0.268,0
0.272,0
0.276,0
0.28,0
0.284,0
0.288,0
0.292,0
0.296,0
0.3,0
0.304,0
0.308,0
0.312,0
0.316,0
0.32,0
0.324,0
0.328,0
0.332,0
0.336,0
0.34,2
0.344,0
0.348,0
0.352,0
0.356,0
0.36,0
0.364,0
0.368,0
0.372,1
0.376,0
0.38,0
0.384,0
0.388,0
0.392,0
0.396,0
0.4,0
0.404,0
0.408,0
0.412,1
0.416,0
0.42,0
0.424,0
0.428,0
0.432,0
0.436,0
0.44,0
0.444,0
0.448,0
0.452,0
0.456,0
0.46,0
0.464,1
0.468,1
0.472,1
0.476,0
0.48,0
0.484,0
0.488,0
0.492,0
0.496,0
0.5,0
0.504,0
0.508,0
0.512,0
0.516,0
0.52,0
0.524,0
0.528,0
0.532,0
0.536,0
0.54,0
0.544,0
0.548,0
0.552,0
0.556,0
0.56,0
0.564,0
0.568,0
0.572,0
0.576,0
0.58,0
0.584,0
0.588,0
0.592,0
0.596,0
0.6,0
0.604,0
0.608,0
0.612,0
0.616,0
0.62,0
0.624,0
0.628,0
0.632,0
0.636,0
0.64,0
0.644,0
0.648,0
0.652,0
0.656,0
0.66,0
0.664,0
0.668,1
0.672,0
0.676,0
0.68,0
0.684,0
0.688,0
0.692,0
0.696,0
0.7,0
0.704,0
0.708,0
0.712,0
0.716,0
0.72,0
0.724,0
0.728,1
0.732,0
0.736,0
0.74,1
0.744,0
0.748,0
0.752,0
0.756,0
0.76,0
0.764,0
0.768,0
0.772,0
0.776,0
0.78,0
0.784,0
0.788,0
0.792,0
0.796,0
0.8,0
0.804,0
0.808,0
0.812,0
0.816,0
0.82,0
0.824,1
0.828,0
0.832,0
0.836,0
0.84,0
0.844,0
0.848,0
0.852,0
0.856,1
0.86,0
0.864,0
0.868,0
0.872,0
0.876,0
0.88,0
0.884,0
0.888,0
0.892,0
0.896,0
0.9,0
0.904,0
0.908,1
0.912,0
0.916,0
0.92,0
0.924,0
0.928,0
0.932,0
0.936,0
0.94,0
0.944,0
0.948,0
0.952,1
0.956,0
0.96,0
0.964,0
0.968,0
0.972,0
0.976,0
0.98,0
0.984,0
0.988,0
0.992,0
0.996,0
1,0
1.004,0
1.008,0
1.012,0
1.016,0
1.02,0
1.024,0
1.028,0
1.032,0
1.036,1
1.04,0
1.044,0
1.048,0
1.052,0
1.056,0
1.06,0
1.064,0
1.068,0
1.072,1
1.076,0
1.08,0
1.084,1
1.088,0
1.092,1
1.096,0
1.1,0
1.104,0
1.108,1
1.112,0
1.116,0
1.12,0
1.124,0
1.128,0
1.132,0
1.136,0
1.14,1
1.144,1
1.148,0
1.152,0
1.156,0
1.16,1
1.164,0
1.168,0
1.172,1
1.176,0
1.18,0
1.184,0
1.188,0
1.192,0
1.196,0
1.2,0
1.204,0
1.208,0
1.212,0
1.216,1
1.22,0
1.224,0
1.228,0
1.232,0
1.236,0
1.24,0
1.244,0
1.248,0
1.252,0
1.256,1
1.26,0
1.264,0
1.268,0
1.272,0
1.276,0
1.28,0
1.284,0
1.288,1
1.292,0
1.296,0
1.3,0
1.304,0
1.308,0
1.312,0
1.316,0
1.32,0
1.324,0
1.328,0
1.332,0
1.336,0
1.34,0
1.344,0
1.348,0
1.352,0
1.356,0
1.36,0
1.364,0
1.368,0
1.372,1
1.376,0
1.38,0
1.384,0
1.388,0
1.392,0
1.396,0
1.4,0
1.404,0
1.408,0
1.412,0
1.416,0
1.42,0
1.424,0
1.428,0
1.432,0
1.436,1
1.44,0
1.444,0
1.448,0
1.452,0
1.456,0
1.46,1
1.464,0
1.468,0
1.472,0
1.476,0
1.48,0
1.484,2
1.488,0
1.492,0
1.496,0
1.5,0
1.504,0
1.508,0
1.512,0
1.516,0
1.52,0
1.524,0
1.528,0
1.532,0
1.536,0
1.54,0
1.544,0
1.548,0
1.552,0
1.556,0
1.56,0
1.564,0
1.568,0
1.572,1
1.576,0
1.58,0
1.584,0
1.588,0
1.592,0
1.596,0
1.6,0
1.604,0
1.608,0
1.612,0
1.616,0
1.62,0
1.624,0
1.628,0
1.632,0
1.636,1
1.64,0
1.644,0
1.648,0
1.652,0
1.656,0
1.66,0
1.664,0
1.668,0
1.672,0
1.676,0
1.68,0
1.684,1
1.688,0
1.692,0
1.696,0
1.7,1
1.704,0
1.708,0
1.712,0
1.716,0
1.72,0
1.724,1
1.728,0
1.732,1
1.736,0
1.74,0
1.744,0
1.748,0
1.752,0
1.756,0
1.76,0
1.764,0
1.768,0
1.772,0
1.776,0
1.78,0
1.784,0
1.788,0
1.792,0
1.796,0
1.8,0
1.804,0
1.808,1
1.812,0
1.816,0
1.82,0
1.824,0
1.828,0
1.832,0
1.836,1
1.84,0
1.844,0
1.848,0
1.852,0
1.856,0
1.86,1
1.864,0
1.868,0
1.872,0
1.876,0
1.88,1
1.884,0
1.888,1
1.892,0
1.896,0
1.9,0
1.904,0
1.908,0
1.912,0
1.916,0
1.92,0
1.924,0
1.928,0
1.932,1
1.936,0
1.94,0
1.944,1
1.948,0
1.952,0
1.956,0
1.96,0
1.964,0
1.968,0
1.972,0
1.976,0
1.98,1
1.984,0
1.988,0
1.992,1
1.996,1
2,1
2.004,0
2.008,0
2.012,0
2.016,0
2.02,0
2.024,0
2.028,0
2.032,0
2.036,0
2.04,0
2.044,0
2.048,0
2.052,0
2.056,0
2.06,0
2.064,0
2.068,0
2.072,0
2.076,0
2.08,0
2.084,1
2.088,0
2.092,0
2.096,0
2.1,0
2.104,0
2.108,0
2.112,0
2.116,1
2.12,0
2.124,0
2.128,0
2.132,0
2.136,2
2.14,0
2.144,0
2.148,0
2.152,0
2.156,0
2.16,1
2.164,0
2.168,0
2.172,1
2.176,0
2.18,0
2.184,1
2.188,0
2.192,0
2.196,0
2.2,0
2.204,0
2.208,0
2.212,0
2.216,0
2.22,0
2.224,0
2.228,0
2.232,0
2.236,0
2.24,0
2.244,0
2.248,0
2.252,0
2.256,0
2.26,0
2.264,0
2.268,0
2.272,0
2.276,0
2.28,0
2.284,0
2.288,0
2.292,0
2.296,0
2.3,0
2.304,0
2.308,0
2.312,0
2.316,0
2.32,0
2.324,0
2.328,0
2.332,0
2.336,0
2.34,0
2.344,0
2.348,0
2.352,0
2.356,0
2.36,0
2.364,0
2.368,0
2.372,0
2.376,0
2.38,1
2.384,0
2.388,0
2.392,1
2.396,0
2.4,0
2.404,0
2.408,0
2.412,0
2.416,0
2.42,0
2.424,0
2.428,0
2.432,1
2.436,0
2.44,0
2.444,0
2.448,0
2.452,0
2.456,0
2.46,0
2.464,0
2.468,0
2.472,0
2.476,0
2.48,0
2.484,0
2.488,0
2.492,0
2.496,0
2.5,1
2.504,1
2.508,0
2.512,0
2.516,0
2.52,0
2.524,0
2.528,0
2.532,0
2.536,0
2.54,0
2.544,0
2.548,1
2.552,1
2.556,0
2.56,0
2.564,0
2.568,0
2.572,0
2.576,0
2.58,0
2.584,0
2.588,0
2.592,0
2.596,0
2.6,0
2.604,0
2.608,1
2.612,0
2.616,0
2.62,0
2.624,0
2.628,0
2.632,0
2.636,0
2.64,0
2.644,0
2.648,0
2.652,0
2.656,0
2.66,0
2.664,0
2.668,0
2.672,0
2.676,0
2.68,0
2.684,0
2.688,0
2.692,0
2.696,1
2.7,0
2.704,0
2.708,0
2.712,0
2.716,0
2.72,0
2.724,1
2.728,0
2.732,0
2.736,0
2.74,0
2.744,0
2.748,0
2.752,0
2.756,0
2.76,0
2.764,0
2.768,0
2.772,0
2.776,0
2.78,0
2.784,1
2.788,0
2.792,0
2.796,0
2.8,0
2.804,0
2.808,0
2.812,0
2.816,0
2.82,0
2.824,0
2.828,0
2.832,0
2.836,0
2.84,0
2.844,0
2.848,0
2.852,0
2.856,0
2.86,0
2.864,0
2.868,0
2.872,1
2.876,0
2.88,0
2.884,1
2.888,0
2.892,0
2.896,0
2.9,0
2.904,0
2.908,0
2.912,0
2.916,0
2.92,0
2.924,0
2.928,0
2.932,0
2.936,0
2.94,0
2.944,0
2.948,0
2.952,0
2.956,0
2.96,0
2.964,0
2.968,0
2.972,0
2.976,0
2.98,0
2.984,0
2.988,0
2.992,0
2.996,0
3,0
3.004,0
3.008,0
3.012,0
3.016,0
3.02,0
3.024,0
3.028,0
3.032,0
3.036,0
3.04,0
3.044,0
3.048,0
3.052,2
3.056,0
3.06,0
3.064,0
3.068,0
3.072,0
3.076,0
3.08,0
3.084,1
3.088,0
3.092,1
3.096,0
3.1,0
3.104,0
3.108,0
3.112,0
3.116,0
3.12,0
3.124,0
3.128,1
3.132,0
3.136,0
3.14,0
3.144,0
3.148,0
3.152,0
3.156,0
3.16,0
3.164,0
3.168,0
3.172,0
3.176,0
3.18,0
3.184,0
3.188,0
3.192,0
3.196,0
3.2,0
3.204,0
3.208,0
3.212,0
3.216,0
3.22,0
3.224,0
3.228,0
3.232,0
3.236,0
3.24,0
3.244,0
3.248,1
3.252,0
3.256,0
3.26,0
3.264,0
3.268,0
3.272,0
3.276,0
3.28,0
3.284,0
3.288,0
3.292,0
3.296,0
3.3,0
3.304,0
3.308,0
3.312,0
3.316,0
3.32,0
3.324,0
3.328,0
3.332,0
3.336,0
3.34,0
3.344,0
3.348,0
3.352,0
3.356,0
3.36,0
3.364,0
3.368,0
3.372,0
3.376,0
3.38,0
3.384,0
3.388,0
3.392,0
3.396,0
3.4,0
3.404,0
3.408,0
3.412,0
3.416,0
3.42,0
3.424,0
3.428,0
3.432,0
3.436,0
3.44,0
3.444,0
3.448,0
3.452,0
3.456,0
3.46,0
3.464,0
3.468,0
3.472,1
3.476,0
3.48,0
3.484,0
3.488,0
3.492,0
3.496,0
3.5,0
3.504,0
3.508,0
3.512,0
3.516,0
3.52,1
3.524,0
3.528,0
3.532,0
3.536,0
3.54,0
3.544,0
3.548,0
3.552,0
3.556,0
3.56,0
3.564,1
3.568,0
3.572,1
3.576,0
3.58,1
3.584,0
3.588,0
3.592,0
